"index","Name","leftX","topY","rightX","bottomY","pageNo","lineNumber","RightMargin","LeftMargin","TopMargin","BottomMargin","RightMarginRelative","LeftMarginRelative","TopMarginRelative","BottomMarginRelative","PositionOnLine","PageHeight","PageWidth","LineSize","HasDate","level","block_num","par_num","line_num","word_num","VerticalPositionRelative","HorizontalPositionRelative","linewhitespace","TextPatterns","fileName","filePath","fileRefNum","TOP_index","TOP_Name","TOP_leftX","TOP_topY","TOP_rightX","TOP_bottomY","TOP_RightMargin","TOP_LeftMargin","TOP_TopMargin","TOP_BottomMargin","TOP_RightMarginRelative","TOP_LeftMarginRelative","TOP_TopMarginRelative","TOP_BottomMarginRelative","TOP_PositionOnLine","TOP_PageHeight","TOP_PageWidth","TOP_LineSize","TOP_HasDate","TOP_VerticalPositionRelative","TOP_HorizontalPositionRelative","TOP_linewhitespace","BOTTOM_Name","BOTTOM_index","BOTTOM_leftX","BOTTOM_topY","BOTTOM_rightX","BOTTOM_bottomY","BOTTOM_RightMargin","BOTTOM_LeftMargin","BOTTOM_TopMargin","BOTTOM_BottomMargin","BOTTOM_RightMarginRelative","BOTTOM_LeftMarginRelative","BOTTOM_TopMarginRelative","BOTTOM_BottomMarginRelative","BOTTOM_PositionOnLine","BOTTOM_PageHeight","BOTTOM_PageWidth","BOTTOM_LineSize","BOTTOM_HasDate","BOTTOM_VerticalPositionRelative","BOTTOM_HorizontalPositionRelative","BOTTOM_linewhitespace","LEFT_Name","LEFT_index","LEFT_leftX","LEFT_topY","LEFT_rightX","LEFT_bottomY","LEFT_RightMargin","LEFT_LeftMargin","LEFT_TopMargin","LEFT_BottomMargin","LEFT_RightMarginRelative","LEFT_LeftMarginRelative","LEFT_TopMarginRelative","LEFT_BottomMarginRelative","LEFT_PositionOnLine","LEFT_PageHeight","LEFT_PageWidth","LEFT_LineSize","LEFT_HasDate","LEFT_VerticalPositionRelative","LEFT_HorizontalPositionRelative","LEFT_linewhitespace","RIGHT_Name","RIGHT_index","RIGHT_leftX","RIGHT_topY","RIGHT_rightX","RIGHT_bottomY","RIGHT_RightMargin","RIGHT_LeftMargin","RIGHT_TopMargin","RIGHT_BottomMargin","RIGHT_RightMarginRelative","RIGHT_LeftMarginRelative","RIGHT_TopMarginRelative","RIGHT_BottomMarginRelative","RIGHT_PositionOnLine","RIGHT_PageHeight","RIGHT_PageWidth","RIGHT_LineSize","RIGHT_HasDate","RIGHT_VerticalPositionRelative","RIGHT_HorizontalPositionRelative","RIGHT_linewhitespace"
11,"NO",244.8630136986301,460,275.7945205479452,491,0,1,"0.1112","0.0987","0.1311","0.1400","0.0187","0.0062",,"0.0134","0.3333","3508","2480",3,0,,,,,,,"0.2500","0.5697","XX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Exporter",13,158,538,271,572,"0.1093","0.0637","0.1534","0.1631","0.2028","","0.0134","0.0020","0.0000","3508","2480",5,0,"0.8704","","0.7294","IRN",10,183,460,229.3972602739726,491,"0.0925","0.0738","0.1311","0.1400","0.0062","",,"0.0134","0.0000","3508","2480",3,0,,"","0.5697","c965d001b813b0078a50d70b0d5dea498cba7bccc27fdcf082af9441e12b5b71",12,322.19178082191786,460,1312,491,"0.5290","0.1299","0.1311","0.1400","","0.0374",,"0.0125","0.6667","3508","2480",3,0,,"","0.5697"
12,"c965d001b813b0078a50d70b0d5dea498cba7bccc27fdcf082af9441e12b5b71",322.19178082191786,460,1312,491,0,1,"0.5290","0.1299","0.1311","0.1400","","0.0374",,"0.0125","0.6667","3508","2480",3,0,,,,,,,"","0.5697","x000x000x000x0000x00x00x0x0xxx000xxx0xxxx00xxxx000xx0000x00x0x00","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Details",14,774,535,871.6744186046511,573,"0.3515","0.3121","0.1525","0.1633","0.1463","0.2028",,"0.0014","0.2000","3508","2480",5,0,,"0.5810","0.7294","IRN",10,183,460,229.3972602739726,491,"0.0925","0.0738","0.1311","0.1400","0.0062","",,"0.0134","0.0000","3508","2480",3,0,,"","0.5697",,,,,,,,,,,"",,,,,,,,,,,
13,"Exporter",158,538,271,572,0,2,"0.1093","0.0637","0.1534","0.1631","0.2028","","0.0134","0.0020","0.0000","3508","2480",5,0,,,,,,"0.8704","","0.7294","Xxxxxxxx","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",10,"IRN",183,460,229.3972602739726,491,"0.0925","0.0738","0.1311","0.1400","0.0062","",,"0.0134","0.0000","3508","2480",3,0,,"","0.5697","GODREJ",18,161,579,261.07142857142856,607,"0.1053","0.0649","0.1651","0.1730","0.0202","","0.0020","0.0037","0.0000","3508","2480",10,0,"0.3500","","0.7131",,,,,,,,,,,,"",,,,,,,,,,,"Details",14,774,535,871.6744186046511,573,"0.3515","0.3121","0.1525","0.1633","0.1463","0.2028",,"0.0014","0.2000","3508","2480",5,0,,"0.5810","0.7294"
14,"Details",774,535,871.6744186046511,573,0,2,"0.3515","0.3121","0.1525","0.1633","0.1463","0.2028",,"0.0014","0.2000","3508","2480",5,0,,,,,,,"0.5810","0.7294","Xxxxxxx","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"GODREJ",24,776,578,879.3846153846154,609,"0.3546","0.3129","0.1648","0.1736","0.0208","0.0597","0.0014","0.0026","0.5000","3508","2480",10,0,"0.3571","0.7411","0.7131","Exporter",13,158,538,271,572,"0.1093","0.0637","0.1534","0.1631","0.2028","","0.0134","0.0020","0.0000","3508","2480",5,0,"0.8704","","0.7294","Warehouse)",17,1234.4651162790697,535,1374,573,"0.5540","0.4978","0.1525","0.1633","","0.0056",,"0.2377","0.8000","3508","2480",5,0,,"","0.7294"
15,"of",885.6279069767442,535,913.5348837209302,573,0,2,"0.3684","0.3571","0.1525","0.1633","0.0056","0.0056",,"0.0237","0.4000","3508","2480",5,0,,,,,,,"0.5000","0.7294","xx","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"VIKHROLI",38,776,656,917.5384615384615,689,"0.3700","0.3129","0.1870","0.1964","0.0071","0.1056","0.0023","0.0020","0.3333","3508","2480",3,0,"0.5333","0.9367","0.7712","Details",14,774,535,871.6744186046511,573,"0.3515","0.3121","0.1525","0.1633","0.1463","0.2028",,"0.0014","0.2000","3508","2480",5,0,,"0.5810","0.7294","Consigner(Despatching",16,927.4883720930233,535,1220.5116279069766,573,"0.4921","0.3740","0.1525","0.1633","0.0056","0.2647",,"0.0014","0.6000","3508","2480",5,0,,"0.9792","0.7294"
16,"Consigner(Despatching",927.4883720930233,535,1220.5116279069766,573,0,2,"0.4921","0.3740","0.1525","0.1633","0.0056","0.2647",,"0.0014","0.6000","3508","2480",5,0,,,,,,,"0.9792","0.7294","Xxxxxxxxx?Xxxxxxxxxxx","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"BOYCE",26,931.0769230769232,578,1017.2307692307694,609,"0.4102","0.3754","0.1648","0.1736","0.0069","0.0208","0.0014","0.0134","0.6000","3508","2480",10,0,"0.0962","0.7500","0.7131","Exporter",13,158,538,271,572,"0.1093","0.0637","0.1534","0.1631","0.2028","","0.0134","0.0020","0.0000","3508","2480",5,0,"0.8704","","0.7294","Warehouse)",17,1234.4651162790697,535,1374,573,"0.5540","0.4978","0.1525","0.1633","","0.0056",,"0.2377","0.8000","3508","2480",5,0,,"","0.7294"
17,"Warehouse)",1234.4651162790697,535,1374,573,0,2,"0.5540","0.4978","0.1525","0.1633","","0.0056",,"0.2377","0.8000","3508","2480",5,0,,,,,,,"","0.7294","Xxxxxxxxx?","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"Buyer/Applicant",53,1088,1407,1315.142857142857,1439,"0.5303","0.4387","0.4011","0.4102","0.0183","0.2383","0.2275","0.0017","0.3000","3508","2480",10,0,"0.9925","0.9286","0.6488","Consigner(Despatching",16,927.4883720930233,535,1220.5116279069766,573,"0.4921","0.3740","0.1525","0.1633","0.0056","0.2647",,"0.0014","0.6000","3508","2480",5,0,,"0.9792","0.7294",,,,,,,,,,,"",,,,,,,,,,,
18,"GODREJ",161,579,261.07142857142856,607,0,3,"0.1053","0.0649","0.1651","0.1730","0.0202","","0.0020","0.0037","0.0000","3508","2480",10,0,,,,,,"0.3500","","0.7131","XXXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",13,"Exporter",158,538,271,572,"0.1093","0.0637","0.1534","0.1631","0.2028","","0.0134","0.0020","0.0000","3508","2480",5,0,"0.8704","","0.7294","PIROJSHANAGAR,L",30,161,620,423.27272727272725,648,"0.1707","0.0649","0.1767","0.1847","0.1422","","0.0037","0.0023","0.0000","3508","2480",7,0,"0.6190","","0.7534",,,,,,,,,,,,"",,,,,,,,,,,"BOYCE",20,311.1071428571429,579,394.5,607,"0.1591","0.1254","0.1651","0.1730","0.0067","0.0202",,"0.0037","0.1000","3508","2480",10,0,,"0.7500","0.7131"
20,"BOYCE",311.1071428571429,579,394.5,607,0,3,"0.1591","0.1254","0.1651","0.1730","0.0067","0.0202",,"0.0037","0.1000","3508","2480",10,0,,,,,,,"0.7500","0.7131","XXXXX","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"PIROJSHANAGAR,L",30,161,620,423.27272727272725,648,"0.1707","0.0649","0.1767","0.1847","0.1422","","0.0037","0.0023","0.0000","3508","2480",7,0,"0.6190","","0.7534","GODREJ",18,161,579,261.07142857142856,607,"0.1053","0.0649","0.1651","0.1730","0.0202","","0.0020","0.0037","0.0000","3508","2480",10,0,"0.3500","","0.7131","MFG.",21,411.17857142857144,579,477.89285714285717,607,"0.1927","0.1658","0.1651","0.1730","0.0067","0.0067",,"0.0140","0.2000","3508","2480",10,0,,"0.5000","0.7131"
21,"MFG.",411.17857142857144,579,477.89285714285717,607,0,3,"0.1927","0.1658","0.1651","0.1730","0.0067","0.0067",,"0.0140","0.2000","3508","2480",10,0,,,,,,,"0.5000","0.7131","XXX?","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"MUMBAI,MAHARASHTRA",37,159,656,514,689,"0.2073","0.0641","0.1870","0.1964","0.1056","","0.0023","0.0140","0.0000","3508","2480",3,0,"0.1404","","0.7712","BOYCE",20,311.1071428571429,579,394.5,607,"0.1591","0.1254","0.1651","0.1730","0.0067","0.0202",,"0.0037","0.1000","3508","2480",10,0,,"0.7500","0.7131","CO.",22,494.5714285714286,579,544.6071428571429,607,"0.2196","0.1994","0.1651","0.1730","0.0067","0.0067",,"0.0037","0.3000","3508","2480",10,0,,"0.5000","0.7131"
22,"CO.",494.5714285714286,579,544.6071428571429,607,0,3,"0.2196","0.1994","0.1651","0.1730","0.0067","0.0067",,"0.0037","0.3000","3508","2480",10,0,,,,,,,"0.5000","0.7131","XX?","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","/home/user/save-data-here/public-folder/demo-files/File2f1efc2585a95804951b27e898583c0e_GODREJ_1.png","File2f1efc2585a95804951b27e898583c0e",,,,,,,,,,,,,,,,,,,,,,,"MARG",33,510.69696969696975,620,580.6363636363637,648,"0.2341","0.2059","0.1767","0.1847","0.0071","0.0353",,"0.2275","0.4286","3508","2480",7,0,,"0.8333","0.7534","MFG.",21,411.17857142857144,579,477.89285714285717,607,"0.1927","0.1658","0.1651","0.1730","0.0067","0.0067",,"0.0140","0.2000","3508","2480",10,0,,"0.5000","0.7131","LTD.",23,561.2857142857143,579,628,607,"0.2532","0.2263","0.1651","0.1730","0.0597","0.0067",,"0.2392","0.4000","3508","2480",10,0,,"0.1013","0.7131"
